timestamp,address,accountValue,totalRawUsd,totalMarginUsed,totalNtlPos,totalNtlNeg
2026-01-24T02:17:41.307151,0xee16198171b3cf5c96af82e538d489f78935fb67,31628.65987,196210.6801,32916.40404,164582.0202,
2026-01-25T02:17:47.868985,0xee16198171b3cf5c96af82e538d489f78935fb67,31575.73507,196202.3137,32925.31572,164626.5786,
2026-01-26T02:18:10.684743,0xee16198171b3cf5c96af82e538d489f78935fb67,39299.37281,39299.37281,0,0,
2026-01-27T02:18:13.709235,0xee16198171b3cf5c96af82e538d489f78935fb67,0.094445,0.094445,0,0,
2026-01-28T02:18:00.494148,0xee16198171b3cf5c96af82e538d489f78935fb67,44581.13513,44581.13513,0,0,
2026-01-29T02:19:04.336752,0xee16198171b3cf5c96af82e538d489f78935fb67,38210.93786,38210.93786,0,0,
2026-01-30T02:20:51.070003,0xee16198171b3cf5c96af82e538d489f78935fb67,40653.50708,40653.50708,0,0,
2026-01-31T02:19:19.058347,0xee16198171b3cf5c96af82e538d489f78935fb67,42363.83789,251740.4235,41875.31713,209376.5857,
2026-02-01T02:20:00.493509,0xee16198171b3cf5c96af82e538d489f78935fb67,64123.2285,64123.2285,0,0,
2026-02-02T02:20:45.921337,0xee16198171b3cf5c96af82e538d489f78935fb67,71032.37944,71032.37944,0,0,
